pathway,NES,padj,size
HALLMARK_E2F_TARGETS,2.4051037238122,0.00147440434064638,194
HALLMARK_ESTROGEN_RESPONSE_LATE,1.65292164387766,0.00147440434064638,193
HALLMARK_G2M_CHECKPOINT,2.33418486188378,0.00147440434064638,189
HALLMARK_MYC_TARGETS_V1,1.76949112549502,0.00147440434064638,191
HALLMARK_MITOTIC_SPINDLE,1.5578335254741,0.00261110240743642,197
HALLMARK_SPERMATOGENESIS,1.62525716501217,0.00261110240743642,131
HALLMARK_MTORC1_SIGNALING,1.51162750890024,0.00336371892764641,193
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.66629077281522,0.00387717121588089,92
HALLMARK_MYC_TARGETS_V2,1.69405854182312,0.00387717121588089,57
HALLMARK_ESTROGEN_RESPONSE_EARLY,1.43149157786245,0.014561362199943,193
